"parameter_code","parameter_name"
"BEN","Benceno"
"CH4","Metano"
"CN","Carbono negro"
"CO","Monóxido de carbono"
"CO2","Dióxido de carbono"
"COCs",""
"COCz",""
"COFm",""
"COPm",""
"COTm",""
"DV","Dirección del viento"
"EB",""
"H2S","Acido Sulfhídrico"
"HCNM","Hidrocarburos no metánicos"
"HCT","Hidrocarburos Totales"
"HR","Humedad relativa"
"HRI","Humedad relativa interior"
"IUV","Índice de radiación ultravioleta"
"NO","Óxido nítrico"
"NO2","Dióxido de nitrógeno"
"NO2Cs",""
"NO2Cz",""
"NOCs",""
"NOCz",""
"NOx","Óxidos de nitrógeno"
"NOxCs",""
"NOxCz",""
"NOxFm",""
"NOxPm",""
"NOxTm",""
"O3","Ozono"
"O3Cs",""
"O3Cz",""
"O3Fm",""
"O3Pm",""
"O3Tm",""
"PB","Presión Barométrica"
"PM10","Partículas menores a 10 micras"
"PM2.5","Partículas menores a 2.5 micras"
"PP","Precipitación pluvial"
"PST","Particulas Suspendidas totales"
"RS","Radiación solar"
"SO2","Dióxido de azufre"
"SO2Cs",""
"SO2Cz",""
"SO2Fm",""
"SO2Pm",""
"SO2Tm",""
"TMP","Temperatura"
"TMPI","Temperatura interior"
"TOL","Tolueno"
"UVA","Radiación ultravioleta A"
"UVB","Radiación ultravioleta B"
"VV","Velocidad del viento"
"XIL","Xileno"
